Date,Ride Name,From-To,From,To,Distance (abs./bucket),Avg. Speed (kmph),Type,Nature - roundtrip/one way,Eatery Stops,"Highlights - records broken, challenges",Upload Type,Kudos
14/01/2018,Nandi base ride - Return of the jedi,Peenya - Nandi Base,,,104.1km,,Workout,roundtrip,"Indian Paratha Company, A2B",Jan Gran Frondo,Live,2
10/01/2018,Airport Ride,Peenya - Airport,,,74.0km,,Workout,roundtrip,Airport CCD,,Live,1
07/01/2018,Hessaraghatta Lake Exploration,Peenya - Hessaraghatta Lake,,,45.7km,,Workout,roundtrip,-,,Live,7
06/01/2018,Back from laboratory,BOTS Infantry Road - Peenya,,,13.6km,,Errand,one way,-,,Live,
30/12/2017,Ride to bike shop,Peenya - BOTS Infantry Road,,,11.1km,,Errand,one way,-,,Live,
29/12/2017,Season 2,Peenya - Hebbal Circle,,,37.3km,,Workout,roundtrip,-,,Live,6
07/10/2017,Morning training ride,Peenya - Hebbal Circle,,,39.6km,20.5,Workout,roundtrip,Airlines Hotel,,Live,
19/09/2017,Morning brisk ride,Peenya - Hebbal Circle,,,40.0km,,Workout,roundtrip,Airlines Hotel,,Later,1
03/09/2017,Nandi base ride,Peenya - Nandi base,,,96.6km,,Workout,roundtrip,"Airport CCD, A2B",,Live,3
23/08/2017,Morning brisk ride,Peenya - MG Road Metro,,,32.3km,24.5,Workout,roundtrip,Airlines Hotel,,Live,0
05/08/2017,Training ride,Peenya - Hebbal Circle - MG Road,,,47km,21.4,Workout,roundtrip,Airlines Hotel,,Live,3
29/07/2017,Breakfast ride,Peenya - Hebbal Circle- Jalahalli,,,55km,22.3,Workout,roundtrip,Airlines Hotel,,Live,4
25/07/2017,New routes - breakfast ride,Peenya - Hebbal Circle,,,38.9km,,Workout,roundtrip,Airlines Hotel,,Live,5
16/07/2017,Shift to new place,JP Nagar - Peenya,,,26.5km,,Errand,one way,-,,Live,5
26/06/2017,Third wave,JP Nagar - Koramangala ,,,11.6km,,Leisure,one way,Third Wave Coffee Roasters,,Live,5
20/06/2017,Evening office ride,Lavelle Road - JP Nagar,,,13.0km,,Commute,one way,-,,Live,4
20/06/2017,Morning office ride,JP Nagar-Lavelle Road,,,12km,,Commute,one way,-,,Live,2
08/06/2017,Evening office ride,Lavelle Road - JP Nagar,,,12.9km,,Commute,one way,-,,Live,1
08/06/2017,Morning office ride,JP Nagar-Lavelle Road,,,11.5km,,Commute,one way,-,,Live,2
06/06/2017,Evening office ride,Lavelle Road - JP Nagar,,,15.2km,,Commute,one way,-,,Live,2
06/06/2017,Morning office ride,JP Nagar-Lavelle Road,,,11.7km,,Commute,one way,-,,Live,5
04/06/2017,Sunday training ride,JP Nagar - hebbal Circle - Sankey tank,,,45.6km,,Workout,roundtrip,-,,Live,6
